Stage,Temp_C,Headwidth_mm,Body_length_mm,Stomach_width_mm
PA,27,0.24,1.28,0.28
PA,27,0.25,1.33,0.29
PA,27,0.23,1.26,0.26
PA,27,0.27,1.38,0.27
PA,27,0.28,1.52,0.36
PA,27,0.23,1.26,0.29
PA,27,0.24,1.26,0.28
PA,27,0.25,1.31,0.28
PA,27,0.25,1.32,0.3
PA,27,0.26,1.34,0.3
PA,27,0.24,1.36,0.28
PA,27,0.24,1.3,0.28
PA,27,0.23,1.33,0.27
PA,27,0.27,1.34,0.31
PA,27,0.26,1.41,0.3
PA,27,0.27,1.3,0.26
PA,27,0.3,1.43,0.31
PA,27,0.25,1.34,0.27
PA,27,0.26,1.33,0.29
PA,27,0.25,1.34,0.3
PA,27,0.25,1.28,0.29
PA,27,0.24,1.24,0.27
PA,27,0.25,1.38,0.32
PA,27,0.26,1.41,0.29
PA,27,0.26,1.43,0.3
PA,27,0.23,1.18,0.26
PA,27,0.25,1.35,0.3
PA,27,0.24,1.27,0.3
PA,27,0.23,1.24,0.27
PA,27,0.23,1.22,0.25
PA,27,0.25,1.41,0.3
PA,27,0.25,1.34,0.25
PA,27,0.25,1.33,0.28
PA,27,0.26,1.31,0.31
PA,27,0.25,1.34,0.31
PA,27,0.25,1.26,0.28
PA,27,0.24,1.32,0.28
PA,27,0.27,1.33,0.25
PA,27,0.25,1.42,0.34
PA,27,0.23,1.3,0.28
PA,27,0.26,1.36,0.3
PA,27,0.25,1.32,0.27
PA,27,0.27,1.37,0.32
PA,27,0.24,1.4,0.33
PA,27,0.25,1.28,0.28
PA,27,0.22,1.19,0.25
PA,27,0.25,1.26,0.3
PA,27,0.23,1.29,0.27
PA,27,0.24,1.23,0.3
PA,27,0.23,1.31,0.27
PA,27,0.24,1.34,0.25
PA,27,0.26,1.4,0.3
PA,27,0.26,1.46,0.32
PA,27,0.25,1.43,0.31
PA,27,0.27,1.38,0.31
PA,27,0.24,1.23,0.26
PA,27,0.24,1.29,0.28
PA,27,0.24,1.26,0.27
PA,27,0.26,1.33,0.28
PA,27,0.23,1.3,0.26
PA,27,0.25,1.32,0.28
PA,27,0.23,1.19,0.26
PA,27,0.23,1.21,0.23
PA,27,0.26,1.28,0.3
PA,27,0.25,1.25,0.27
PA,27,0.27,1.48,0.32
PA,27,0.26,1.21,0.3
PA,27,0.24,1.23,0.28
PA,27,0.25,1.44,0.28
PA,27,0.21,1.21,0.27
PA,27,0.27,1.39,0.32
PA,27,0.24,1.2,0.29
PA,27,0.27,1.37,0.29
PA,27,0.24,1.34,0.28
PA,27,0.23,1.3,0.26
PA,27,0.24,1.48,0.36
