Temp_C,Stage,Headwidth_mm,Body_length_mm
27,ZA,0.21,0.81
27,ZA,0.23,0.89
27,ZA,0.2,0.84
27,ZA,0.21,0.87
27,ZA,0.21,0.84
27,ZA,0.23,0.85
27,ZA,0.22,0.88
27,ZA,0.22,0.81
27,ZA,0.22,0.86
27,ZA,0.22,0.85
27,ZA,0.21,0.84
27,ZA,0.23,0.95
27,ZA,0.21,0.87
27,ZA,0.21,0.91
27,ZA,0.2,0.88
27,PA,0.24,1.28
27,PA,0.25,1.33
27,PA,0.23,1.26
27,PA,0.27,1.38
27,PA,0.28,1.52
27,PA,0.23,1.26
27,PA,0.24,1.26
27,PA,0.25,1.31
27,PA,0.25,1.32
27,PA,0.26,1.34
27,PA,0.24,1.36
27,PA,0.24,1.3
27,PA,0.23,1.33
27,PA,0.27,1.34
27,PA,0.26,1.41
27,PA,0.27,1.3
27,PA,0.3,1.43
27,PA,0.25,1.34
27,PA,0.26,1.33
27,PA,0.25,1.34
27,PA,0.25,1.28
27,PA,0.24,1.24
27,PA,0.25,1.38
27,PA,0.26,1.41
27,PA,0.26,1.43
27,PA,0.23,1.18
27,PA,0.25,1.35
27,PA,0.24,1.27
27,PA,0.23,1.24
27,PA,0.23,1.22
27,PA,0.25,1.41
27,PA,0.25,1.34
27,PA,0.25,1.33
27,PA,0.26,1.31
27,PA,0.25,1.34
27,PA,0.25,1.26
27,PA,0.24,1.32
27,PA,0.27,1.33
27,PA,0.25,1.42
27,PA,0.23,1.3
27,PA,0.26,1.36
27,PA,0.25,1.32
27,PA,0.27,1.37
27,PA,0.24,1.4
27,PA,0.25,1.28
27,PA,0.22,1.19
27,PA,0.25,1.26
27,PA,0.23,1.29
27,PA,0.24,1.23
27,PA,0.23,1.31
27,PA,0.24,1.34
27,PA,0.26,1.4
27,PA,0.26,1.46
27,PA,0.25,1.43
27,PA,0.27,1.38
27,PA,0.24,1.23
27,PA,0.24,1.29
27,PA,0.24,1.26
27,PA,0.26,1.33
27,PA,0.23,1.3
27,PA,0.25,1.32
27,PA,0.23,1.19
27,PA,0.23,1.21
27,PA,0.26,1.28
27,PA,0.25,1.25
27,PA,0.27,1.48
27,PA,0.26,1.21
27,PA,0.24,1.23
27,PA,0.25,1.44
27,PA,0.21,1.21
27,PA,0.27,1.39
27,PA,0.24,1.2
27,PA,0.27,1.37
27,PA,0.24,1.34
27,PA,0.23,1.3
27,PA,0.24,1.48
27,PA,0.23,1.24
27,PA,0.24,1.25
27,PA,0.25,1.38
27,PA,0.26,1.33
27,PA,0.25,1.35
27,PA,0.24,1.25
27,PA,0.24,1.3
27,PA,0.24,1.24
27,ZB,0.29,1.22
27,ZB,0.3,1.33
27,ZB,0.26,1.06
27,ZB,0.33,1.32
27,ZB,0.28,1.2
27,ZB,0.27,1.29
27,ZB,0.37,1.44
27,ZB,0.33,1.38
27,ZB,0.31,1.26
27,ZB,0.34,1.44
27,ZB,0.35,1.35
27,ZB,0.29,1.28
27,ZB,0.32,1.24
27,ZB,0.3,1.23
27,ZB,0.34,1.38
27,ZB,0.31,1.23
27,ZB,0.31,1.2
27,ZB,0.34,1.36
27,ZB,0.33,1.32
27,ZB,0.33,1.25
27,ZB,0.3,1.26
27,ZB,0.29,1.18
27,ZB,0.3,1.35
27,ZB,0.32,1.18
27,ZB,0.33,1.24
27,ZB,0.31,1.29
27,ZB,0.3,1.21
27,ZB,0.27,1.13
27,ZB,0.32,1.24
27,ZB,0.28,1.17
27,ZB,0.31,1.28
27,ZB,0.3,1.24
27,ZB,0.35,1.44
27,ZB,0.31,1.35
27,ZB,0.33,1.38
27,ZB,0.32,1.3
27,ZB,0.34,1.36
27,ZB,0.31,1.3
27,ZB,0.33,1.34
27,ZB,0.25,1.11
27,ZB,0.31,1.28
27,ZB,0.3,1.18
27,ZB,0.28,1.18
27,ZB,0.31,1.25
27,ZB,0.31,1.3
27,ZB,0.29,1.16
27,ZB,0.3,1.18
27,ZB,0.33,1.35
27,ZB,0.33,1.36
27,ZB,0.3,1.26
27,ZB,0.29,1.2
27,ZB,0.29,1.21
27,ZB,0.26,1.01
27,ZB,0.35,1.35
27,ZB,0.33,1.4
27,ZB,0.28,1.16
27,ZB,0.27,1.14
27,ZB,0.33,1.28
27,ZB,0.31,1.29
27,ZB,0.31,1.24
27,ZB,0.35,1.43
27,ZB,0.33,1.34
27,ZB,0.32,1.3
27,ZB,0.33,1.35
27,ZB,0.31,1.32
27,ZB,0.27,1.08
27,ZB,0.32,1.31
27,ZB,0.37,1.54
27,ZB,0.38,1.54
27,ZB,0.37,1.55
27,ZB,0.33,1.23
27,ZB,0.3,1.18
27,ZB,0.31,1.31
27,ZB,0.29,1.27
27,ZB,0.34,1.39
27,ZB,0.29,1.15
27,ZB,0.31,1.3
27,ZB,0.31,1.28
27,ZB,0.27,1.05
27,ZB,0.33,1.37
27,ZB,0.33,1.36
27,ZB,0.33,1.43
27,ZB,0.35,1.46
27,ZB,0.3,1.19
27,ZB,0.34,1.37
27,ZB,0.34,1.32
27,ZB,0.32,1.32
27,ZB,0.32,1.28
27,ZB,0.34,1.37
27,ZB,0.29,1.2
27,ZB,0.33,1.32
27,ZB,0.31,1.35
27,PB,0.28,1.61
27,PB,0.29,1.69
27,PB,0.32,1.89
27,PB,0.28,1.67
27,PB,0.34,1.86
27,PB,0.32,1.93
27,PB,0.3,1.73
27,PB,0.33,1.89
27,PB,0.32,1.91
27,PB,0.28,1.85
27,PB,0.3,1.94
27,PB,0.31,1.82
27,PB,0.33,1.65
27,PB,0.32,1.9
27,PB,0.28,1.48
27,PB,0.34,1.93
27,PB,0.32,1.94
27,PB,0.34,1.88
27,PB,0.28,1.78
27,PB,0.28,1.73
27,PB,0.32,1.78
27,PB,0.31,1.89
27,PB,0.26,1.56
27,PB,0.29,1.79
27,PB,0.32,1.64
27,PB,0.25,1.68
27,PB,0.33,2
27,PB,0.33,2
27,PB,0.28,1.77
27,PB,0.3,1.97
27,PB,0.27,1.62
27,PB,0.29,1.98
27,PB,0.35,2.01
27,PB,0.31,1.79
27,PB,0.3,1.78
27,PB,0.3,1.72
27,PB,0.33,2.06
27,PB,0.31,1.75
27,PB,0.32,1.83
27,PB,0.29,1.76
27,PB,0.28,1.7
27,PB,0.32,1.79
27,PB,0.3,1.77
27,PB,0.3,1.79
27,PB,0.31,1.74
27,PB,0.29,1.67
27,PB,0.32,1.7
27,PB,0.28,1.69
27,PB,0.3,1.76
27,PB,0.29,1.54
27,ZC,0.35,1.45
27,ZC,0.43,1.78
27,ZC,0.49,2.01
27,ZC,0.48,2.01
27,ZC,0.54,2.25
27,ZC,0.56,2.35
27,ZC,0.5,2
27,ZC,0.44,1.81
27,ZC,0.42,1.78
27,ZC,0.54,2.16
27,ZC,0.42,1.76
27,ZC,0.47,1.88
27,ZC,0.53,2.26
27,ZC,0.55,2.24
27,ZC,0.44,1.7
27,ZC,0.53,2.16
27,ZC,0.47,1.85
27,ZC,0.44,1.74
27,ZC,0.47,2.03
27,ZC,0.53,2.26
27,ZC,0.5,2.14
27,ZC,0.4,1.65
27,ZC,0.4,1.54
27,ZC,0.51,2.02
27,ZC,0.47,2
27,ZC,0.48,1.88
27,ZC,0.37,1.61
27,ZC,0.48,2.07
27,ZC,0.48,2.1
27,ZC,0.46,2.04
27,ZC,0.46,1.94
27,ZC,0.39,1.56
27,ZC,0.47,1.91
27,ZC,0.43,1.68
27,ZC,0.42,1.78
27,ZC,0.49,2.02
27,ZC,0.49,1.85
27,ZC,0.4,1.57
27,ZC,0.41,1.68
27,ZC,0.46,1.78
27,ZC,0.44,1.76
27,ZC,0.46,1.8
27,ZC,0.48,3.42
27,ZC,0.44,2.7
27,ZC,0.43,2.67
27,ZC,0.43,3.03
27,ZC,0.44,3.05
27,ZC,0.44,2.96
27,ZC,0.5,3.12
27,ZC,0.44,3.15
27,ZC,0.47,3.52
27,ZC,0.43,3.13
27,ZC,0.43,3.3
27,ZC,0.49,3.16
27,ZC,0.36,2.67
27,ZC,0.47,3.15
27,ZC,0.49,3.57
27,ZC,0.51,3.13
27,ZC,0.46,2.99
27,ZC,0.42,2.64
27,ZC,0.48,3.02
27,ZC,0.37,2.4
27,ZC,0.45,3.54
27,ZC,0.43,3.12
27,ZC,0.49,3.15
27,ZC,0.46,3.09
27,ZC,0.43,3.26
27,ZC,0.43,3.4
27,ZC,0.45,3.34
27,ZC,0.42,3.3
27,ZC,0.46,3.21
27,ZC,0.45,2.73
27,ZC,0.35,2.45
27,ZC,0.43,2.89
27,ZC,0.42,3.23
27,ZC,0.43,2.8
27,ZC,0.37,2.76
30,ZA,0.26,0.94
30,ZA,0.24,0.86
30,ZA,0.26,0.94
30,ZA,0.24,0.89
30,ZA,0.22,0.8
30,ZA,0.27,0.92
30,ZA,0.23,0.89
30,ZA,0.23,0.88
30,ZA,0.23,0.87
30,ZA,0.24,0.84
30,ZA,0.26,0.94
30,ZA,0.25,0.94
30,ZA,0.23,0.81
30,ZA,0.23,0.8
30,ZA,0.26,0.9
30,ZA,0.25,0.93
30,ZA,0.24,0.9
30,ZA,0.23,0.82
30,ZA,0.23,0.84
30,ZA,0.24,0.83
30,ZA,0.26,0.91
30,ZA,0.24,0.87
30,ZA,0.25,0.92
30,ZA,0.24,0.87
30,ZA,0.26,0.95
30,ZA,0.23,0.84
30,ZA,0.23,0.81
30,ZA,0.23,0.84
30,ZA,0.25,0.9
30,ZA,0.25,0.93
30,ZA,0.25,0.89
30,ZA,0.24,0.82
30,ZA,0.24,0.87
30,ZA,0.23,0.86
30,ZA,0.25,0.87
30,ZA,0.23,0.84
30,ZA,0.24,0.9
30,ZA,0.25,0.87
30,ZA,0.25,0.89
30,ZA,0.25,0.88
30,ZA,0.26,0.91
30,ZA,0.24,0.82
30,ZA,0.24,0.86
30,ZA,0.23,0.8
30,ZA,0.24,0.87
30,ZA,0.25,0.88
30,ZA,0.25,0.9
30,ZA,0.26,0.93
30,ZA,0.26,0.92
30,PA,0.26,1.41
30,PA,0.22,1.09
30,PA,0.23,1.19
30,PA,0.23,1.12
30,PA,0.27,1.32
30,PA,0.27,1.28
30,PA,0.21,1.09
30,PA,0.25,1.29
30,PA,0.22,1.11
30,PA,0.24,1.18
30,PA,0.22,1.1
30,PA,0.23,1.14
30,PA,0.24,1.22
30,PA,0.22,1.1
30,PA,0.24,1.33
30,PA,0.26,0.98
30,PA,0.21,1.02
30,PA,0.23,0.91
30,PA,0.23,1.05
30,PA,0.25,1.03
