Trial,Distance_moved_Centerpoint_Totalmm,Velocity_Centerpoint_Mean_mms,Inzone_fish_Centerpoint_Frequency,Inzone_fish_Center-point_Cumulative_Duration,Inzone_fish_Centerpoint_Cumulative_Duration_Percent,Inzone_tl_Centerpoint_Frequency,Inzone_tl_Centerpoint_Cumulative_Duration,Inzone_tl_Centerpoint_Cumulative_Duration_Percent,Inzone_tr_ Centerpoint_Frequency,Inzone_tr_Centerpoint_Cumulative_Duration,Inzone_tr_Centerpoint_Cumulative_Duration_Percent,Inzone_br_Center-point_Frequency,Inzone_br_Centerpoint_Cumulative_Duration,Inzone_br_Centerpoint_Cumulative_Duration_Percent,Distancetopointcue_Center-point Mean_mm,Distancetopointcue_Centerpoint_Total_mm
1,176.348,2.33883,1,48.6,16.7702,1,20,6.90131,1,4.4,1.51829,1,4,1.38026,52.3031,19822.9
2,1153.81,4.13255,2,7,2.37449,2,12.4,4.20624,13,43.8,14.8575,13,218.6,74.152,89.3008,125021
3,129.052,0.478678,1,258.6,86.5462,1,11.8,3.94913,0,0,0,0,0,0,36.829,49682.3
4,53.0161,0.646538,1,43.4,14.5151,3,40.2,13.4448,0,0,0,0,0,0,56.6541,23341.5
5,304.54,2.19409,4,34.8,18.3738,1,6.6,3.48469,0,0,0,3,98.4,51.9535,58.5215,40731
6,1093.16,8.6621,7,75.2,25.3199,9,15.4,5.18519,3,18.8,6.32997,3,20.2,6.80135,67.4761,42914.8
7,101.637,22.095,2,5,1.77557,0,0,0,1,0.8,0.284091,1,0.4,0.142045,49.1428,1228.57
8,340.589,2.66085,3,12.2,4.08027,5,68.6,22.9431,4,41,13.7124,2,7.8,2.6087,76.8604,49344.4
9,89.3081,2.13656,1,39.2,13.1104,0,0,0,0,0,0,1,3.4,1.13712,53.6441,11265.3
10,919.897,7.78255,5,28.6,9.56522,5,51.2,17.1237,4,22.4,7.49164,5,18.6,6.22074,71.1292,42321.9
11,151.681,6.48208,0,0,0,3,12.4,4.14716,2,12.6,4.21405,0,0,0,97.6399,11619.1
12,313.416,5.49853,1,1.4,0.468227,3,45.6,15.2508,2,9.8,3.27759,2,4,1.33779,84.8561,24608.3
13,925.957,5.80902,2,8,2.67559,7,120.6,40.3344,5,34.2,11.4381,1,0.2,0.0668896,79.2389,63549.6
14,735.439,5.94054,7,51.2,17.1927,8,58.8,19.7448,3,6.8,2.28341,4,8,2.68637,63.4816,39422.1
15,209.159,8.29994,1,2,0.686813,1,2.2,0.755495,1,10.2,3.50275,2,12.4,4.25824,77.5262,9923.36
16,216.311,0.728811,1,5,1.67224,2,2,0.668896,3,283.8,94.9164,1,8,2.67559,101.063,150381
17,1.24957,0.271645,0,0,0,1,5.4,2.01794,0,0,0,0,0,0,62.1943,1492.66
18,1354.3,4.64757,2,7.8,2.6087,8,244.8,81.8729,8,19.2,6.4214,2,20.4,6.82274,77.092,112400
19,113.599,6.68227,0,0,0,2,1.8,0.602007,1,1,0.334448,1,16.6,5.55184,86.2347,7588.65
20,335.937,3.60447,3,25.2,12.0459,4,47,22.4665,1,2.8,1.33843,2,20.4,9.75143,68.7409,32239.5
